Source Name	Characteristics[Organism]	Term Source REF	Term Accession Number	Characteristics[Infra-specific name]	Term Source REF	Term Accession Number	Characteristics[Line]	Term Source REF	Term Accession Number	Protocol REF	Characteristics[Rwness]	Term Source REF	Term Accession Number	Characteristics[Shape]	Term Source REF	Term Accession Number
source156	Hordeum vulgare subsp. vulgare	NCBITaxon	xon_112509	MPS	EURISCO		MPS 195			sample collection	6			w		
source157	Hordeum vulgare subsp. vulgare	NCBITaxon	xon_112509	MPS	EURISCO		MPS 196			sample collection	2			w		
source158	Hordeum vulgare subsp. vulgare	NCBITaxon	xon_112509	MPS	EURISCO		MPS 197			sample collection	6			r		
source159	Hordeum vulgare subsp. vulgare	NCBITaxon	xon_112509	MPS	EURISCO		MPS 198			sample collection	6			r		
source160	Hordeum vulgare subsp. vulgare	NCBITaxon	xon_112509	MPS	EURISCO		MPS 199			sample collection	6			w		
source161	Hordeum vulgare subsp. vulgare	NCBITaxon	xon_112509	MPS	EURISCO		MPS 2			sample collection	2			r		
source162	Hordeum vulgare subsp. vulgare	NCBITaxon	xon_112509	MPS	EURISCO		MPS 20			sample collection	6			r		
source163	Hordeum vulgare subsp. vulgare	NCBITaxon	xon_112509	MPS	EURISCO		MPS 200			sample collection	2			w		
source164	Hordeum vulgare subsp. vulgare	NCBITaxon	xon_112509	MPS	EURISCO		MPS 201			sample collection	2			w		
source165	Hordeum vulgare subsp. vulgare	NCBITaxon	xon_112509	MPS	EURISCO		MPS 202			sample collection	2			w		
source166	Hordeum vulgare subsp. vulgare	NCBITaxon	xon_112509	MPS	EURISCO		MPS 203			sample collection	6			w		
source167	Hordeum vulgare subsp. vulgare	NCBITaxon	xon_112509	MPS	EURISCO		MPS 204			sample collection	2			w		
source168	Hordeum vulgare subsp. vulgare	NCBITaxon	xon_112509	MPS	EURISCO		MPS 205			sample collection	6			r		
source169	Hordeum vulgare subsp. vulgare	NCBITaxon	xon_112509	MPS	EURISCO		MPS 206			sample collection	6			r		
source170	Hordeum vulgare subsp. vulgare	NCBITaxon	xon_112509	MPS	EURISCO		MPS 207			sample collection	6			r		
source171	Hordeum vulgare subsp. vulgare	NCBITaxon	xon_112509	MPS	EURISCO		MPS 21			sample collection	2			w		
source172	Hordeum vulgare subsp. vulgare	NCBITaxon	xon_112509	MPS	EURISCO		MPS 23			sample collection	2			w		
source173	Hordeum vulgare subsp. vulgare	NCBITaxon	xon_112509	MPS	EURISCO		MPS 24			sample collection	6			w		
source174	Hordeum vulgare subsp. vulgare	NCBITaxon	xon_112509	MPS	EURISCO		MPS 25			sample collection	6			w		
source175	Hordeum vulgare subsp. vulgare	NCBITaxon	xon_112509	MPS	EURISCO		MPS 26			sample collection	2			r		
source176	Hordeum vulgare subsp. vulgare	NCBITaxon	xon_112509	MPS	EURISCO		MPS 27			sample collection	2			r		
source177	Hordeum vulgare subsp. vulgare	NCBITaxon	xon_112509	MPS	EURISCO		MPS 28			sample collection	6			r		
source178	Hordeum vulgare subsp. vulgare	NCBITaxon	xon_112509	MPS	EURISCO		MPS 3			sample collection	6			r		
source179	Hordeum vulgare subsp. vulgare	NCBITaxon	xon_112509	MPS	EURISCO		MPS 30			sample collection	2			w		
source180	Hordeum vulgare subsp. vulgare	NCBITaxon	xon_112509	MPS	EURISCO		MPS 31			sample collection	2			w		
source181	Hordeum vulgare subsp. vulgare	NCBITaxon	xon_112509	MPS	EURISCO		MPS 32			sample collection	2			r		
source182	Hordeum vulgare subsp. vulgare	NCBITaxon	xon_112509	MPS	EURISCO		MPS 33			sample collection	2			w		
source183	Hordeum vulgare subsp. vulgare	NCBITaxon	xon_112509	MPS	EURISCO		MPS 34			sample collection	2			r		
source184	Hordeum vulgare subsp. vulgare	NCBITaxon	xon_112509	MPS	EURISCO		MPS 35			sample collection	6			r		
source185	Hordeum vulgare subsp. vulgare	NCBITaxon	xon_112509	MPS	EURISCO		MPS 36			sample collection	2			w		
source186	Hordeum vulgare subsp. vulgare	NCBITaxon	xon_112509	MPS	EURISCO		MPS 37			sample collection	2			w		
source187	Hordeum vulgare subsp. vulgare	NCBITaxon	xon_112509	MPS	EURISCO		MPS 38			sample collection	6			w		
source188	Hordeum vulgare subsp. vulgare	NCBITaxon	xon_112509	MPS	EURISCO		MPS 39			sample collection	6			w		
source189	Hordeum vulgare subsp. vulgare	NCBITaxon	xon_112509	MPS	EURISCO		MPS 40			sample collection	2			w		
source190	Hordeum vulgare subsp. vulgare	NCBITaxon	xon_112509	MPS	EURISCO		MPS 42			sample collection	2			w		
source191	Hordeum vulgare subsp. vulgare	NCBITaxon	xon_112509	MPS	EURISCO		MPS 44			sample collection	2			w		
source192	Hordeum vulgare subsp. vulgare	NCBITaxon	xon_112509	MPS	EURISCO		MPS 45			sample collection	2			w		
source193	Hordeum vulgare subsp. vulgare	NCBITaxon	xon_112509	MPS	EURISCO		MPS 46			sample collection	2			w		
source194	Hordeum vulgare subsp. vulgare	NCBITaxon	xon_112509	MPS	EURISCO		MPS 47			sample collection	2			r		
source195	Hordeum vulgare subsp. vulgare	NCBITaxon	xon_112509	MPS	EURISCO		MPS 48			sample collection	6			r		
source196	Hordeum vulgare subsp. vulgare	NCBITaxon	xon_112509	MPS	EURISCO		MPS 49			sample collection	2			w		
source197	Hordeum vulgare subsp. vulgare	NCBITaxon	xon_112509	MPS	EURISCO		MPS 5			sample collection	2			r		
source198	Hordeum vulgare subsp. vulgare	NCBITaxon	xon_112509	MPS	EURISCO		MPS 50			sample collection	6			r		
source199	Hordeum vulgare subsp. vulgare	NCBITaxon	xon_112509	MPS	EURISCO		MPS 51			sample collection	2			w		
source200	Hordeum vulgare subsp. vulgare	NCBITaxon	xon_112509	MPS	EURISCO		MPS 52			sample collection	6			w		
source201	Hordeum vulgare subsp. vulgare	NCBITaxon	xon_112509	MPS	EURISCO		MPS 53			sample collection	2			r		
source202	Hordeum vulgare subsp. vulgare	NCBITaxon	xon_112509	MPS	EURISCO		MPS 54			sample collection	2			r		
source203	Hordeum vulgare subsp. vulgare	NCBITaxon	xon_112509	MPS	EURISCO		MPS 55			sample collection	2			w		
source204	Hordeum vulgare subsp. vulgare	NCBITaxon	xon_112509	MPS	EURISCO		MPS 56			sample collection	2			r		
source205	Hordeum vulgare subsp. vulgare	NCBITaxon	xon_112509	MPS	EURISCO		MPS 57			sample collection	2			r		
source206	Hordeum vulgare subsp. vulgare	NCBITaxon	xon_112509	MPS	EURISCO		MPS 58			sample collection	2			r		
source207	Hordeum vulgare subsp. vulgare	NCBITaxon	xon_112509	MPS	EURISCO		MPS 59			sample collection	2			r		
source208	Hordeum vulgare subsp. vulgare	NCBITaxon	xon_112509	MPS	EURISCO		MPS 6			sample collection	2			r		
source209	Hordeum vulgare subsp. vulgare	NCBITaxon	xon_112509	MPS	EURISCO		MPS 60			sample collection	6			r		
source210	Hordeum vulgare subsp. vulgare	NCBITaxon	xon_112509	MPS	EURISCO		MPS 61			sample collection	6			r		
source211	Hordeum vulgare subsp. vulgare	NCBITaxon	xon_112509	MPS	EURISCO		MPS 62			sample collection	2			r		
source212	Hordeum vulgare subsp. vulgare	NCBITaxon	xon_112509	MPS	EURISCO		MPS 63			sample collection	6			r		
source213	Hordeum vulgare subsp. vulgare	NCBITaxon	xon_112509	MPS	EURISCO		MPS 64			sample collection	6			w		
source214	Hordeum vulgare subsp. vulgare	NCBITaxon	xon_112509	MPS	EURISCO		MPS 65			sample collection	2			w		
source215	Hordeum vulgare subsp. vulgare	NCBITaxon	xon_112509	MPS	EURISCO		MPS 66			sample collection	2			r		
source216	Hordeum vulgare subsp. vulgare	NCBITaxon	xon_112509	MPS	EURISCO		MPS 67			sample collection	2			w		
source217	Hordeum vulgare subsp. vulgare	NCBITaxon	xon_112509	MPS	EURISCO		MPS 68			sample collection	2			w		
source218	Hordeum vulgare subsp. vulgare	NCBITaxon	xon_112509	MPS	EURISCO		MPS 69			sample collection	6			r		
source219	Hordeum vulgare subsp. vulgare	NCBITaxon	xon_112509	MPS	EURISCO		MPS 7			sample collection	2			w		
